"krs","m.0","m.1","m.2","m.3","m.4","m.5","w.0","w.1","w.2","w.3","w.4","w.5"
3158,2549,5239,13216,21418,12739,4209,2438,4940,11675,21676,14067,5794
3159,7154,13952,42718,53475,33113,10775,6694,13061,40366,54652,36823,15291
3241,28585,53163,144545,200819,104180,35909,27060,50341,136768,201340,122025,52889
3251,5020,10261,24034,39161,22205,7172,4732,9609,21724,39088,24047,9833
3252,3283,6497,15383,25174,15977,5526,3151,6266,14506,25845,18563,8388
3254,5983,11946,31846,47756,28082,9299,5672,11406,30670,47976,32048,13910
3255,1460,2952,7878,11970,8110,2817,1402,2831,6721,11907,8957,3970
3256,2670,5664,14015,21795,12449,3807,2733,5559,12218,21130,13645,5701
3257,3360,6822,16811,27863,16665,5653,3282,6562,15475,27898,18989,8401
3351,4249,8635,19934,30601,18574,6061,4109,8233,18385,30699,20894,8562
3352,4452,9141,20351,33707,22300,7093,4083,8498,18836,34960,24881,9911
3353,6181,12292,26818,46051,24698,8462,5800,11595,23805,47773,27904,11397
3354,939,2151,4745,8060,5944,2000,915,1915,4104,8341,6559,2751
3355,4432,8876,21882,32558,16617,5178,4190,8466,21078,33781,18818,7496
3356,2676,5366,11472,20467,11912,3872,2516,4905,10628,21129,13315,5259
3357,3713,7847,19829,29439,16327,4977,3568,7328,17153,29003,17512,6759
3358,3277,6681,16764,24370,14007,4658,2994,6120,14317,24459,15507,6601
3359,5128,10070,23745,36211,19630,6259,4772,9310,21694,35756,22001,8526
3360,1853,4011,9699,16017,10126,3535,1752,3806,8924,16384,11408,5057
3361,3429,6598,15099,23676,14008,4356,3376,6382,13976,24478,15438,5976
3401,2065,3745,9566,13114,7492,2455,1997,3380,8680,13102,8636,3375
3402,1248,2353,6765,8504,4769,1445,1117,2175,6047,8252,5385,2135
3403,3833,7095,23868,27209,14098,4398,3721,6868,24778,28969,16760,6613
3404,3773,6850,25625,26246,12948,4314,3625,6469,25962,26363,15682,6891
3405,1673,2973,10123,11806,8032,2989,1590,2853,8746,11748,9485,4260
3451,2915,5929,13394,21538,12691,4191,2764,5696,12710,22298,14272,5673
3452,4291,8919,21653,32729,20274,5689,3971,8193,19773,33611,22649,8096
3453,4789,9528,23498,30405,13736,3751,4622,9053,20674,28739,14804,5749
3454,8214,16361,42601,59852,30222,8534,7885,15513,36500,55632,32350,11993
3455,2115,4409,10199,16491,10989,3861,2029,4040,9431,17375,12456,5065
3456,3408,6946,16384,24389,13207,3971,3189,6590,14679,23953,14243,5552
3457,4157,8025,20507,30163,16974,4984,3824,7753,18465,29390,18618,6949
3458,3040,6326,14388,23892,12890,4038,2902,5902,13073,24206,14004,5483
3459,8954,17870,42153,63700,34209,10544,8396,16736,37777,63624,37589,15791
3460,3948,7810,19764,25489,11426,3158,3808,7266,17965,24270,12087,4607
3461,1950,3982,10028,15763,9638,3049,1810,3689,8918,15395,10249,4153
3462,1222,2632,6149,9610,6404,1902,1106,2472,5728,9897,7151,2609
4011,14110,24883,77320,97443,50609,16971,13340,23218,71094,94789,59910,25665
4012,3045,5537,14619,19231,10880,3387,2747,5197,12896,18060,12910,5125
5111,16098,27514,77504,111514,49614,17071,15237,25873,81962,109625,61197,26085
5112,13041,23657,64038,86879,44536,14437,12031,22188,59181,84183,52238,22181
5113,14627,25987,73032,98357,53547,17455,13753,24586,71130,98257,64649,27729
5114,5429,10590,27148,39168,21314,7096,5196,9728,25154,39766,25732,10699
5116,6519,12018,32490,45246,24847,7535,6012,11309,30628,45030,28514,11306
5117,4174,7563,19187,28875,16754,5834,3845,7276,17689,29975,20624,9084
5119,5030,9266,25057,37173,20830,6256,4729,8914,23012,36560,24314,9688
5120,2701,5119,12650,19909,10728,3557,2621,4948,11798,19206,12382,5375
5122,3906,7567,18329,27948,14714,5007,3591,7099,17695,28838,17075,7591
5124,9097,16917,44711,60988,31545,10429,8564,16159,42309,59869,37610,16184
5154,7274,14580,37657,55676,30742,8699,6875,13669,34217,55065,33757,12763
5158,11580,22445,50281,84389,48412,17598,11016,21580,47960,87895,57606,24922
5162,11308,21804,47893,80255,43462,14492,10605,20566,45329,83784,50944,20565
5166,6783,13374,32229,54034,30083,9410,6291,12877,30308,55718,34151,13677
5170,10295,20298,49552,80134,48806,15052,9698,19042,45999,83148,55839,21946
